time,lon,lat,ETP
2021-06-01,11.52,3.87,3.079
2021-06-01,13.4,9.3,2.251
2021-06-02,11.52,3.87,1.352
2021-06-02,13.4,9.3,2.676
2021-06-03,11.52,3.87,3.023
2021-06-03,13.4,9.3,3.109
2021-06-04,11.52,3.87,2.872
2021-06-04,13.4,9.3,0.73
2021-06-05,11.52,3.87,2.152
2021-06-05,13.4,9.3,2.036
2021-06-06,11.52,3.87,3.399
2021-06-06,13.4,9.3,2.6470000000000002
2021-06-07,11.52,3.87,3.118
2021-06-07,13.4,9.3,2.169
2021-06-08,11.52,3.87,2.457
2021-06-08,13.4,9.3,2.823
2021-06-09,11.52,3.87,3.47
2021-06-09,13.4,9.3,3.112
2021-06-10,11.52,3.87,2.99
2021-06-10,13.4,9.3,2.904
2021-06-11,11.52,3.87,2.041
2021-06-11,13.4,9.3,3.192
2021-06-12,11.52,3.87,3.196
2021-06-12,13.4,9.3,1.661
2021-06-13,11.52,3.87,2.621
2021-06-13,13.4,9.3,2.306
2021-06-14,11.52,3.87,3.528
2021-06-14,13.4,9.3,2.873
2021-06-15,11.52,3.87,2.88
2021-06-15,13.4,9.3,2.6470000000000002
2021-06-16,11.52,3.87,3.326
2021-06-16,13.4,9.3,1.588
2021-06-17,11.52,3.87,2.3930000000000002
2021-06-17,13.4,9.3,2.739
2021-06-18,11.52,3.87,2.062
2021-06-18,13.4,9.3,3.142
2021-06-19,11.52,3.87,1.831
2021-06-19,13.4,9.3,2.726
2021-06-20,11.52,3.87,2.628
2021-06-20,13.4,9.3,2.824
2021-06-21,11.52,3.87,1.597
2021-06-21,13.4,9.3,2.61
2021-06-22,11.52,3.87,2.741
2021-06-22,13.4,9.3,2.443
2021-06-23,11.52,3.87,1.676
2021-06-23,13.4,9.3,1.6600000000000001
2021-06-24,11.52,3.87,3.488
2021-06-24,13.4,9.3,2.402
2021-06-25,11.52,3.87,2.523
2021-06-25,13.4,9.3,3.217
2021-06-26,11.52,3.87,2.969
2021-06-26,13.4,9.3,3.081
2021-06-27,11.52,3.87,1.5130000000000001
2021-06-27,13.4,9.3,2.696
2021-06-28,11.52,3.87,2.958
2021-06-28,13.4,9.3,1.488
2021-06-29,11.52,3.87,2.735
2021-06-29,13.4,9.3,2.505
2021-06-30,11.52,3.87,3.501
2021-06-30,13.4,9.3,1.361
2021-07-01,11.52,3.87,3.676
2021-07-01,13.4,9.3,2.614
2021-07-02,11.52,3.87,2.562
2021-07-02,13.4,9.3,2.607
2021-07-03,11.52,3.87,1.3940000000000001
2021-07-03,13.4,9.3,1.698
2021-07-04,11.52,3.87,1.07
2021-07-04,13.4,9.3,1.93
2021-07-05,11.52,3.87,2.111
2021-07-05,13.4,9.3,2.141
2021-07-06,11.52,3.87,2.169
2021-07-06,13.4,9.3,2.5140000000000002
2021-07-07,11.52,3.87,2.6830000000000003
2021-07-07,13.4,9.3,2.0180000000000002
2021-07-08,11.52,3.87,3.029
2021-07-08,13.4,9.3,1.993
2021-07-09,11.52,3.87,2.968
2021-07-09,13.4,9.3,2.874
2021-07-10,11.52,3.87,2.343
2021-07-10,13.4,9.3,4.0760000000000005
2021-07-11,11.52,3.87,2.324
2021-07-11,13.4,9.3,5.017
2021-07-12,11.52,3.87,2.189
2021-07-12,13.4,9.3,1.81
2021-07-13,11.52,3.87,2.544
2021-07-13,13.4,9.3,4.632
2021-07-14,11.52,3.87,2.748
2021-07-14,13.4,9.3,4.87
2021-07-15,11.52,3.87,0.985
2021-07-15,13.4,9.3,4.119
2021-07-16,11.52,3.87,1.326
2021-07-16,13.4,9.3,1.9100000000000001
2021-07-17,11.52,3.87,3.181
2021-07-17,13.4,9.3,3.5700000000000003
2021-07-18,11.52,3.87,2.241
2021-07-18,13.4,9.3,2.8000000000000003
2021-07-19,11.52,3.87,3.2840000000000003
2021-07-19,13.4,9.3,2.87
2021-07-20,11.52,3.87,2.22
2021-07-20,13.4,9.3,3.592
2021-07-21,11.52,3.87,3.157
2021-07-21,13.4,9.3,4.45
2021-07-22,11.52,3.87,2.582
2021-07-22,13.4,9.3,3.204
2021-07-23,11.52,3.87,2.971
2021-07-23,13.4,9.3,2.6310000000000002
2021-07-24,11.52,3.87,1.971
2021-07-24,13.4,9.3,4.821
